studentid course_code test1 test2 test3 exam
2023001 CSC101 80 47 41 87
2023002 CSC101 57 55 54 48
2023003 CSC101 87 46 83 87
2023004 CSC101 97 74 45 77
2023005 CSC101 67 42 41 45
2023006 CSC101 53 54 72 78
2023007 CSC101 41 75 52 85
2023008 CSC101 81 84 74 66
2023009 CSC101 54 68 77 57
2023010 CSC101 91 95 40 88
2023011 CSC101 91 50 84 67
2023012 CSC101 61 57 49 53
2023013 CSC101 88 61 46 45
2023014 CSC101 64 46 62 94
2023015 CSC101 62 78 56 91
2023016 CSC101 42 86 69 74
2023017 CSC101 47 99 64 45
2023018 CSC101 75 58 93 80
2023019 CSC101 79 96 95 63
2023020 CSC101 76 52 85 44
2023021 CSC101 42 82 54 89
2023022 CSC101 58 45 94 54
2023023 CSC101 95 46 64 57
2023024 CSC101 69 80 93 63
2023025 CSC101 50 63 62 53
2023026 CSC101 82 57 84 99
2023027 CSC101 83 81 44 78
2023028 CSC101 80 50 74 86
2023029 CSC101 55 50 69 64
2023030 CSC101 57 99 80 84
2023031 CSC101 75 54 83 60
2023032 CSC101 93 89 89 43
2023033 CSC101 54 92 42 91
2023034 CSC101 60 65 57 44
2023035 CSC101 53 98 100 76
2023036 CSC101 96 85 60 53
2023037 CSC101 81 71 65 96
2023038 CSC101 98 81 69 49
2023039 CSC101 56 48 55 87
2023040 CSC101 75 74 56 87
2023041 CSC101 77 67 97 77
2023042 CSC101 65 63 54 48
2023043 CSC101 72 71 45 88
2023044 CSC101 43 95 47 49
2023045 CSC101 80 50 90 83
2023046 CSC101 67 78 44 64
2023047 CSC101 64 78 69 73
2023048 CSC101 56 75 95 100
2023049 CSC101 40 83 86 47
2023050 CSC101 83 96 74 88
